x_m,y_m,z_m,u_ms,v_ms,w_ms,speed_ms
1.000000000000000056e-01,5.000000000000000000e-01,1.770833333333333703e+00,-6.719384285654107260e-03,3.066067554457226063e-02,-8.375007321018021478e-03,3.248642636017283480e-02
1.000000000000000056e-01,5.000000000000000000e-01,1.979166666666667185e+00,-6.665027592278228649e-03,2.786825002790255940e-02,-7.458849075467527227e-03,2.960905911970395515e-02
1.000000000000000056e-01,5.000000000000000000e-01,2.187500000000000444e+00,-6.564863858911721903e-03,2.548005375278142304e-02,-5.019453553443490798e-03,2.678666628578204451e-02
1.000000000000000056e-01,5.000000000000000000e-01,2.395833333333333481e+00,-5.873771461419100698e-03,2.257149909186105530e-02,-1.736746165359121527e-03,2.338781840355691477e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.041666666666666713e-01,-4.947974644132249224e-03,2.915939251197818827e-02,1.780829639433703735e-03,2.962978195922593913e-02
1.000000000000000056e-01,6.999999999999999556e-01,3.125000000000000555e-01,-5.218659467757362849e-03,3.186397773724740368e-02,4.869018068599997341e-03,3.265355755247144331e-02
1.000000000000000056e-01,6.999999999999999556e-01,5.208333333333333703e-01,-5.681891211097629506e-03,3.650931779619528972e-02,6.633678336189351155e-03,3.753957727447605058e-02
1.000000000000000056e-01,6.999999999999999556e-01,7.291666666666667407e-01,-6.275235746921204241e-03,4.226534877841284232e-02,6.421651727883843051e-03,4.320851654424802402e-02
1.000000000000000056e-01,6.999999999999999556e-01,9.375000000000001110e-01,-6.882802664987576653e-03,4.783766233097765108e-02,3.929605567298283079e-03,4.848975881289099843e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.145833333333333703e+00,-7.364704927760389042e-03,5.175717211484037739e-02,-5.312560218842831469e-04,5.228122011735166635e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.354166666666666963e+00,-7.630601947746156605e-03,5.274115515992194858e-02,-5.901960958453794127e-03,5.361612329181420639e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.562500000000000222e+00,-7.643053334926248540e-03,4.995361357610498404e-02,-1.029238967612869024e-02,5.157240598262434472e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.770833333333333703e+00,-7.495339128600566128e-03,4.495070501790561501e-02,-1.205142948077066699e-02,4.713791406913848958e-02
1.000000000000000056e-01,6.999999999999999556e-01,1.979166666666667185e+00,-7.302934000877145219e-03,3.974041334739190218e-02,-1.086292175314361626e-02,4.184060667650091325e-02
1.000000000000000056e-01,6.999999999999999556e-01,2.187500000000000444e+00,-7.063186617122132853e-03,3.546966591141887531e-02,-7.329168216342735881e-03,3.690125352612580456e-02
1.000000000000000056e-01,6.999999999999999556e-01,2.395833333333333481e+00,-6.063312603461034136e-03,3.040045665296917110e-02,-2.542547457973111293e-03,3.110331287841204204e-02
1.000000000000000056e-01,8.999999999999999112e-01,1.041666666666666713e-01,-5.360204940002567461e-03,3.453272825982961480e-02,3.359631853727584796e-03,3.510738162065983603e-02
1.000000000000000056e-01,8.999999999999999112e-01,3.125000000000000555e-01,-5.788221470214890106e-03,3.903182113385229857e-02,9.410900303361472916e-03,4.056539921328403131e-02
